"","date","fed_funds_rate","recession_indicator","unemployment","core_cpi","real_fed_rate"
"1",1958-01-01,2.72,1,5.8,2.80702,-0.0870199999999999
"2",1958-02-01,1.67,1,6.4,2.7972,-1.1272
"3",1958-03-01,1.2,1,6.7,2.78746,-1.58746
"4",1958-04-01,1.26,1,7.4,2.43056,-1.17056
"5",1958-05-01,0.63,0,7.4,2.43056,-1.80056
"6",1958-06-01,0.93,0,7.3,2.42215,-1.49215
"7",1958-07-01,0.68,0,7.5,2.06897,-1.38897
"8",1958-08-01,1.53,0,7.4,2.06897,-0.53897
"9",1958-09-01,1.76,0,7.1,2.06186,-0.30186
"10",1958-10-01,1.8,0,6.7,1.71233,0.0876700000000001
"11",1958-11-01,2.27,0,6.2,1.70648,0.56352
"12",1958-12-01,2.42,0,6.2,2.04778,0.37222
"13",1959-01-01,2.48,0,6,2.04778,0.43222
"14",1959-02-01,2.43,0,5.9,1.70068,0.72932
"15",1959-03-01,2.8,0,5.6,1.69492,1.10508
"16",1959-04-01,2.96,0,5.2,1.69492,1.26508
"17",1959-05-01,2.9,0,5.1,2.0339,0.8661
"18",1959-06-01,3.39,0,5,2.02703,1.36297
"19",1959-07-01,3.47,0,5.1,2.02703,1.44297
"20",1959-08-01,3.5,0,5.2,2.02703,1.47297
"21",1959-09-01,3.76,0,5.5,2.0202,1.7398
"22",1959-10-01,3.98,0,5.7,2.3569,1.6231
"23",1959-11-01,4,0,5.8,2.01342,1.98658
"24",1959-12-01,3.99,0,5.3,2.00669,1.98331
"25",1960-01-01,3.99,0,5.2,2.00669,1.98331
"26",1960-02-01,3.97,0,4.8,2.34114,1.62886
"27",1960-03-01,3.84,0,5.4,2,1.84
"28",1960-04-01,3.92,0,5.2,2,1.92
"29",1960-05-01,3.85,1,5.1,1.66113,2.18887
"30",1960-06-01,3.32,1,5.4,1.65563,1.66437
"31",1960-07-01,3.23,1,5.5,1.3245,1.9055
"32",1960-08-01,2.98,1,5.6,1.3245,1.6555
"33",1960-09-01,2.6,1,5.5,0.9901,1.6099
"34",1960-10-01,2.47,1,6.1,1.31579,1.15421
"35",1960-11-01,2.44,1,6.1,1.31579,1.12421
"36",1960-12-01,1.98,1,6.6,0.65574,1.32426
"37",1961-01-01,1.45,1,6.6,0.98361,0.46639
"38",1961-02-01,2.54,1,6.9,0.65359,1.88641
"39",1961-03-01,2.02,0,6.9,0.98039,1.03961
"40",1961-04-01,1.49,0,7,0.98039,0.50961
"41",1961-05-01,1.98,0,7.1,0.98039,0.99961
"42",1961-06-01,1.73,0,6.9,0.9772,0.7528
"43",1961-07-01,1.17,0,7,1.30719,-0.13719
"44",1961-08-01,2,0,6.6,1.63399,0.36601
"45",1961-09-01,1.88,0,6.7,1.63399,0.24601
"46",1961-10-01,2.26,0,6.5,0.97403,1.28597
"47",1961-11-01,2.61,0,6.1,1.2987,1.3113
"48",1961-12-01,2.33,0,6,1.62866,0.70134
"49",1962-01-01,2.15,0,5.8,1.2987,0.8513
"50",1962-02-01,2.37,0,5.5,1.2987,1.0713
"51",1962-03-01,2.85,0,5.6,1.2945,1.5555
"52",1962-04-01,2.78,0,5.6,1.2945,1.4855
"53",1962-05-01,2.36,0,5.5,1.61812,0.74188
"54",1962-06-01,2.68,0,5.5,1.29032,1.38968
"55",1962-07-01,2.71,0,5.4,1.29032,1.41968
"56",1962-08-01,2.93,0,5.7,1.28617,1.64383
"57",1962-09-01,2.9,0,5.6,1.28617,1.61383
